Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Sneakers donna in pelle nero r25634w,r25634w,donna,sneakers,Sneakers,nero,111.93,159.9
Sneakers donna in vernice nero r25625w,r25625w,donna,sneakers,Sneakers,nero,111.93,159.9
Sneakers donna in pelle nero r25625w,r25625w,donna,sneakers,Sneakers,nero,111.93,159.9
Sneakers donna in camoscio nero r25625w,r25625w,donna,sneakers,Sneakers,nero,111.93,159.9
Sneakers donna in camoscio blu navy r25625w,r25625w,donna,sneakers,Sneakers,navy,111.93,159.9
Sneakers donna in pelle e camoscio beige r25551w,r25551w,donna,sneakers,Sneakers,beige,111.93,159.9
Sneakers donna in vernice e pelle beige r25545w,r25545w,donna,sneakers,Sneakers,beige,111.93,159.9
Sneakers donna in vernice e pelle nero r25545w,r25545w,donna,sneakers,Sneakers,nero,111.93,159.9
Sneakers donna in camoscio e pelle beige r25542w,r25542w,donna,sneakers,Sneakers,beige,104.93,149.9
Sneakers donna in camoscio verde r25656w,r25656w,donna,sneakers,Sneakers,verde,108.5,155.0
Sneakers donna in camoscio nero r25656w,r25656w,donna,sneakers,Sneakers,nero,108.5,155.0
Sneakers donna in camoscio bordo r25656w,r25656w,donna,sneakers,Sneakers,bordo,108.5,155.0
Sneakers donna in camoscio topo r25656w,r25656w,donna,sneakers,Sneakers,topo,108.5,155.0
Sneakers donna in pelle e camoscio nero r25552,r25552,donna,sneakers,Sneakers,nero,115.5,165.0
Sneakers donna in camoscio topo r25625w,r25625w,donna,sneakers,Sneakers,topo,111.93,159.9
Melluso Gift Card Virtuale,Gift Card,donna,,,,50.0,50.0
Décolleté donna in vernice beige v5720w,v5720w,donna,donna-mocassini,Décolleté,beige,108.5,155.0
Melluso Gift Card Virtuale,Gift Card,donna,,,,50.0,50.0
Mocassino allacciato donna in pelle  nero r35503w,r35503w,donna,donna-mocassini,Mocassino,nero,104.93,149.9
Mocassino allacciato donna in vernice nero r35503w,r35503w,donna,donna-mocassini,Mocassino,nero,104.93,149.9
Mocassino donna allacciato derby in pelle cuoio 034316w,034316w,donna,donna-mocassini,Mocassino,cuoio,97.93,139.9
Mocassino donna allacciato derby in pelle marrone 034316w,034316w,donna,donna-mocassini,Mocassino,marrone,97.93,139.9
Mocassino donna allacciato derby in pelle nero 034316w,034316w,donna,donna-mocassini,Mocassino,nero,97.93,139.9
Mocassino donna comodo in camoscio beige r30618z,r30618z,donna,donna-mocassini,Mocassino,beige,139.9,139.9
Mocassino donna in camoscio blu navy r35512w,r35512w,donna,donna-mocassini,Mocassino,navy,101.5,145.0
Mocassino donna in camoscio blu navy r35738w,r35738w,donna,donna-mocassini,Mocassino,navy,108.5,155.0
Mocassino donna in camoscio bordo l5255w,l5255w,donna,donna-mocassini,Mocassino,bordo,108.5,155.0
Mocassino donna in camoscio caramello r45383,r45383,donna,donna-mocassini,Mocassino,caramello,108.5,155.0
Mocassino donna in camoscio ebano k53005,k53005,donna,donna-mocassini,Mocassino,ebano,69.3,99.0
Mocassino donna in camoscio grigio x5336w,x5336w,donna,donna-mocassini,Mocassino,grigio,108.5,155.0
Mocassino donna in camoscio marrone r35738w,r35738w,donna,donna-mocassini,Mocassino,marrone,108.5,155.0
Mocassino donna in camoscio marrone r35740w,r35740w,donna,donna-mocassini,Mocassino,marrone,108.5,155.0
Mocassino donna in camoscio marrone x5336w,x5336w,donna,donna-mocassini,Mocassino,marrone,108.5,155.0
Mocassino donna in camoscio nero k53003,k53003,donna,donna-mocassini,Mocassino,nero,62.3,89.0
Mocassino donna in camoscio nero k53005,k53005,donna,donna-mocassini,Mocassino,nero,69.3,99.0
Mocassino donna in camoscio nero l5251w,l5251w,donna,donna-mocassini,Mocassino,nero,108.5,155.0
Mocassino donna in camoscio nero r35512w,r35512w,donna,donna-mocassini,Mocassino,nero,101.5,145.0
Mocassino donna in camoscio nero r35738w,r35738w,donna,donna-mocassini,Mocassino,nero,108.5,155.0
Mocassino donna in camoscio nero x5336w,x5336w,donna,donna-mocassini,Mocassino,nero,108.5,155.0
Mocassino donna in camoscio nero x5345,x5345,donna,donna-mocassini,Mocassino,nero,108.5,155.0
Mocassino donna in camoscio rovere r35727w,r35727w,donna,donna-mocassini,Mocassino,rovere,108.5,155.0
Mocassino donna in camoscio rovere r35727w,r35727w,donna,donna-mocassini,Mocassino,rovere,108.5,155.0
Mocassino donna in camoscio sigaro l5251w,l5251w,donna,donna-mocassini,Mocassino,sigaro,108.5,155.0
Mocassino donna in camoscio sigaro l5255w,l5255w,donna,donna-mocassini,Mocassino,sigaro,108.5,155.0
Mocassino donna in camoscio sigaro r35512w,r35512w,donna,donna-mocassini,Mocassino,sigaro,101.5,145.0
Mocassino donna in camoscio verde l5251w,l5251w,donna,donna-mocassini,Mocassino,verde,108.5,155.0
Mocassino donna in camoscio verde r45383,r45383,donna,donna-mocassini,Mocassino,verde,108.5,155.0
Mocassino donna in camoscio visone k55234w,k55234w,donna,donna-mocassini,Mocassino,visone,62.93,89.9
Mocassino donna in pelle bordo k55234w,k55234w,donna,donna-mocassini,Mocassino,bordo,62.93,89.9
Mocassino donna in pelle bordo k59029w,k59029w,donna,donna-mocassini,Mocassino,bordo,104.93,149.9
Mocassino donna in pelle bordo k91615w,k91615w,donna,donna-mocassini,Mocassino,bordo,83.93,119.9
Mocassino donna in pelle bordo r25072w,r25072w,donna,donna-mocassini,Mocassino,bordo,115.5,165.0
Mocassino donna in pelle camoscio blu navy k55272w,k55272w,donna,donna-mocassini,Mocassino,navy,69.93,99.9
