Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Sandalo con tacco A1011 Rosa Verde,con,donna,sandali,sandalo,Verde,75.0,99.9,25.0,Duelune
Sandalo con tacco A1011 Cuoio,con,donna,sandali,sandalo,Cuoio,75.0,99.9,25.0,Duelune
Sandalo con tacco A959 Oro,con,donna,sandali,sandalo,Oro,60.0,89.9,33.0,Duelune
Sandalo con tacco A475L Camoscio Rosso,con,donna,sandali,sandalo,Rosso,50.0,74.9,33.0,Duelune
Sandalo con tacco A411 Nero,con,donna,sandali,sandalo,Nero,40.0,84.9,53.0,Duelune
Sandalo con tacco A475L Blu,con,donna,sandali,sandalo,Blu,50.0,74.9,33.0,Duelune
Sandalo con tacco A475L Nero,con,donna,sandali,sandalo,Nero,50.0,74.9,33.0,Duelune
Sandalo con tacco A475L Rosa,con,donna,sandali,sandalo,Rosa,50.0,74.9,33.0,Duelune
Sandalo con Tacco A405 Nude,con,donna,sandali,sandalo,Nude,80.0,99.9,20.0,Duelune
Sandalo con Tacco A405 Onda Platino,con,donna,sandali,sandalo,Platino,80.0,99.9,20.0,Duelune
Sandalo con Tacco A405 Onda Argento,con,donna,sandali,sandalo,Argento,80.0,99.9,20.0,Duelune
Sandalo con Tacco A405 Fuxia,con,donna,sandali,sandalo,Fuxia,80.0,99.9,20.0,Duelune
Sandalo con Tacco A405 Bianco,con,donna,sandali,sandalo,Bianco,80.0,99.9,20.0,Duelune
Sandalo con tacco A475L Celeste,con,donna,sandali,sandalo,Celeste,50.0,74.9,33.0,Duelune
Sandalo con tacco A412 Nero,con,donna,sandali,sandalo,Nero,50.0,89.9,44.0,Duelune
Sandalo con tacco A412 Oro,con,donna,sandali,sandalo,Oro,50.0,89.9,44.0,Duelune
Stringata Derby D680 Nero,Derby,donna,scarpe-basse,stringata,Nero,79.9,79.9,0.0,Duelune
Stringata Derby D165 Nero,Derby,donna,scarpe-basse,stringata,Nero,89.9,89.9,0.0,Duelune
Doppia Fibbia D169 Nabuck Marrone,Fibbia,donna,scarpe-basse,doppia,Marrone,89.9,89.9,0.0,Duelune
Doppia Fibbia D169 Nero,Fibbia,donna,scarpe-basse,doppia,Nero,89.9,89.9,0.0,Duelune
Mocassino con moschettone D11 Cavallino Bianco Nero,con,donna,scarpe-basse,mocassino,Nero,99.9,99.9,0.0,Duelune
Mocassino Penny A7 Vitello Blu,Penny,donna,scarpe-basse,mocassino,Blu,79.9,79.9,0.0,Duelune
Mocassino con moschettone D10N Nero,con,donna,scarpe-basse,mocassino,Nero,99.9,99.9,0.0,Duelune
Mocassino D10S Cuoio,D10S,donna,scarpe-basse,mocassino,Cuoio,99.9,99.9,0.0,Duelune
Mocassino D9S Blu,D9S,donna,scarpe-basse,mocassino,Blu,89.9,89.9,0.0,Duelune
Mocassino con moschettone D11 Cavallino,con,donna,scarpe-basse,mocassino,Cavallino,99.9,99.9,0.0,Duelune
Mocassino con moschettone D10N Vernice Nero,con,donna,scarpe-basse,mocassino,Nero,99.9,99.9,0.0,Duelune
