Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Décolleté donna slingback in pelle platino d166z,d166z,donna,decollete,decollete,platino,139.9,139.9,0.0,Melluso
Décolleté donna in harrods viola d5186w,d5186w,donna,decollete,decollete,viola,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle blu abyss d165zv,d165zv,donna,decollete,decollete,abyss,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle wash abyss d166z,d166z,donna,decollete,decollete,abyss,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle platino d192,d192,donna,decollete,decollete,platino,149.9,149.9,0.0,Melluso
Décolleté donna aperto ai lati in tessuto galassia argento e1630zv,e1630zv,donna,decollete,decollete,argento,159.9,159.9,0.0,Melluso
Décolleté donna aperto ai lati in tessuto galassia platino e1630zv,e1630zv,donna,decollete,decollete,platino,159.9,159.9,0.0,Melluso
Décolleté donna aperto ai lati in tessuto galassia notte e1630zv,e1630zv,donna,decollete,decollete,notte,159.9,159.9,0.0,Melluso
Décolleté donna aperto ai lati in tessuto galassia phard e1630zv,e1630zv,donna,decollete,decollete,phard,159.9,159.9,0.0,Melluso
Décolleté donna slingback in pelle argento d165z,d165z,donna,decollete,decollete,argento,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle wash rame d168zv,d168zv,donna,decollete,decollete,rame,104.93,149.9,30.0,Melluso
Décolleté donna in pelle nero d175z,d175z,donna,decollete,decollete,nero,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle nude d179z,d179z,donna,decollete,decollete,nude,139.9,139.9,0.0,Melluso
Décolleté donna slingback in tessuto galassia argento d180z,d180z,donna,decollete,decollete,argento,139.9,139.9,0.0,Melluso
Décolleté donna slingback in tessuto galassia platino d180z,d180z,donna,decollete,decollete,platino,139.9,139.9,0.0,Melluso
Décolleté slingback donna in pelle e nylon nero e1852,e1852,donna,decollete,decollete,nero,159.9,159.9,0.0,Melluso
