Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Ballerina A869 Nero,A869,donna,ballerine,Ballerina,Nero,38.4,54.9
Ballerina A887 Nero,A887,donna,ballerine,Ballerina,Nero,55.9,79.9
Ballerina A892 Cuoio,A892,donna,ballerine,Ballerina,Cuoio,55.9,79.9
Ballerina A892 Nero,A892,donna,ballerine,Ballerina,Nero,55.9,79.9
Ballerina A892 Salvia,A892,donna,ballerine,Ballerina,Salvia,55.9,79.9
Ballerina A889 Nero,A889,donna,ballerine,Ballerina,Nero,55.9,79.9
Ballerina A889 Platino,A889,donna,ballerine,Ballerina,Platino,55.9,79.9
Ballerina A891 Rosso,A891,donna,ballerine,Ballerina,Rosso,62.9,89.9
Ballerina A891 Giallo,A891,donna,ballerine,Ballerina,Giallo,62.9,89.9
Ballerina A849 Rosa,A849,donna,ballerine,Ballerina,Rosa,59.9,59.9
Ballerina A849 Rosso,A849,donna,ballerine,Ballerina,Rosso,59.9,59.9
Ballerina A849 Blu,A849,donna,ballerine,Ballerina,Blu,59.9,59.9
Ballerina A849 Nero,A849,donna,ballerine,Ballerina,Nero,59.9,59.9
Ballerina A849 Lilla,A849,donna,ballerine,Ballerina,Lilla,59.9,59.9
Ballerina Sabot A886 Fuxia Rosa,Sabot,donna,ballerine,Ballerina,Rosa,55.9,79.9
Ballerina Sabot A886 Nero,Sabot,donna,ballerine,Ballerina,Nero,55.9,79.9
Sandalo con tacco A3680 Nero,con,donna,sandali,Sandalo,Nero,79.9,99.9
Sandalo con tacco A3680 Cipria,con,donna,sandali,Sandalo,Cipria,79.9,99.9
Sandalo con tacco A3675 Nude,con,donna,sandali,Sandalo,Nude,79.9,99.9
Sandalo con tacco A3675 Nero,con,donna,sandali,Sandalo,Nero,79.9,99.9
Slingback A5730 Cuoio,A5730,donna,sandali,Slingback,Cuoio,45.0,79.9
Slingback A5730 Nero,A5730,donna,sandali,Slingback,Nero,45.0,79.9
Sandalo Sabot A5732 Camoscio Cuoio,Sabot,donna,sandali,Sandalo,Cuoio,55.0,84.9
Sandalo Sabot A5732 Camoscio Blu,Sabot,donna,sandali,Sandalo,Blu,55.0,84.9
Slingback A3665 Camoscio Blu,A3665,donna,sandali,Slingback,Blu,35.0,74.9
